10000 265
20000 278
30000 252
40000 337
50000 284
60000 224
70000 271
80000 277
90000 245
100000 201
110000 254
119999 254
129999 196
139999 257
149999 196
159999 280
169999 253
179999 162
189999 223
199999 162
209999 162
219999 226
229999 162
239999 229
249999 166
259999 317
269999 186
279999 191
289999 305
299999 184
309999 273
319999 183
329999 183
339999 275
349999 190
359999 184
369999 284
379999 183
389999 266
399999 183
409999 183
419999 265
429999 181
439999 150
449999 150
459999 226
469999 150
479999 150
489999 225
499999 150
509999 150
519999 228
529999 150
539999 154
549999 150
559999 227
569999 150
579999 150
589999 229
599999 150
609999 150
619999 150
629999 232
639999 150
649999 150
659999 154
669999 234
679999 150
689999 150
699999 236
709999 150
719999 150
729999 150
739999 150
749999 154
759999 150
769999 150
779999 154
789999 150
799999 150
809999 157
819999 150
829999 150
839999 159
849999 150
859999 150
869999 162
879999 163
889999 158
899999 139
909999 128
919999 128
929999 142
939999 128
949999 142
959999 128
969999 128
979999 128
989999 135
999999 128
