10000 520
20000 991
30000 1427
40000 1755
50000 1847
60000 2544
70000 2186
80000 2343
90000 2440
100000 2642
110000 2522
120000 2768
130000 2670
140000 2839
150000 2939
160000 2818
170000 2766
180000 2973
190000 2954
200000 2975
210000 3158
220000 3136
230000 3170
240000 3146
250000 3295
260000 3370
270000 3424
280000 3535
290000 3526
300000 3650
310000 3607
320000 3654
330000 3887
340000 3857
350000 3926
360000 3981
370000 4059
380000 4023
390000 4172
400000 4222
410000 4328
420000 4403
430000 4392
440000 4522
450000 4622
460000 4722
470000 5996
480000 5302
490000 5140
500000 5202
510000 5477
520000 6104
530000 5798
540000 5970
550000 6028
560000 6275
570000 6115
580000 6153
590000 6483
600000 6607
610000 6744
620000 6906
630000 7414
640000 7741
650000 7244
660000 7376
670000 7443
680000 7713
690000 7715
700000 7938
710000 7927
720000 7991
730000 8525
740000 8686
750000 9747
760000 8575
770000 8694
780000 8806
790000 9018
800000 9301
810000 9701
820000 10030
830000 9182
840000 9258
850000 9370
860000 9583
870000 10604
880000 10377
890000 10359
900000 10949
910000 10772
920000 10850
930000 10740
940000 11141
950000 11591
960000 11671
970000 11419
980000 11885
990000 11553
1000000 11763
